ID,Link,Movie_Name,Tags
14,https://www.imdb.com/title/tt0087803/?ref_=sr_t_321,1984,"drama sci-fi john hurt richard burton suzanna hamilton cyril cusack gregor fisher jame walker andrew wild david trevena david cann anthoni benson peter frye roger lloyd pack rupert baderman corinna seddon martha parsey merelina kendal p.j. nichola lynn radford virgin umbrella-rosenblum film product virgin benelux in a totalitarian futur society, winston smith, whose work is re-writ history, tri to rebel. he meet a kindr spirit name julia and they fall into a love affair. michael radford michael radford georg orwel"
15,https://www.imdb.com/title/tt0322259/?ref_=sr_t_139,2 Fast 2 Furious,action mysteri & thriller paul walker tyres gibson cole hauser eva mend ludacri thom barri jame remar devon aoki amauri nolasco michael eali jin au-yeung edward finlay mark boon junior mo gallini roberto sanchez eric etebari john cenatiempo troy brown univers pictur origin film mikona product gmbh & co. kg former cop brian o'conn is call upon to bust a danger crimin and he recruit the help of a former childhood friend and street racer who ha a chanc to redeem himself. john singleton gari scott thompson michael brandt derek haa gari scott thompson michael brandt derek haa
16,https://www.imdb.com/title/tt1272878/?ref_=sr_t_216,2 Guns,"action comedi mysteri & thriller denzel washington mark wahlberg paula patton bill paxton edward jame olmo robert john burk jame marsden greg sprole fred ward patrick fischler derek solorsano edgar arreola kyle clement christoph matthew cook tim bell tait fletcher azur parson john mcconnel univers pictur emmett/furla oasi film marc platt product two harden crimin get into troubl with the us border patrol after meet with a mexican drug lord, and then revel start to unfold. baltasar kormákur blake master steven grant"
17,https://www.imdb.com/title/tt0062622/?ref_=sr_t_430,2001: A Space Odyssey,"adventur sci-fi keir dullea gari lockwood william sylvest daniel richter leonard rossit margaret tyzack robert beatti sean sullivan dougla rain frank w. miller bill weston ed bishop glenn beck alan gifford ann gilli edwina carrol penni brahm heather downham metro-goldwyn-may (mgm) stanley kubrick product when a mysteri artifact is uncov on the moon, a spacecraft man by two human and one supercomput is sent to jupit to find it origins. stanley kubrick stanley kubrick arthur c. clark arthur c. clark"
18,https://www.imdb.com/title/tt1190080/?ref_=sr_t_85,2012,action adventur sci-fi john cusack thandiw newton chiwetel ejiofor amanda peet oliv platt tom mccarthi woodi harrelson danni glover liam jame morgan lili zlatko buric beatric rosen alexandr haussmann philipp haussmann johann urb john billingsley chin han osric chau columbia pictur centropoli entertain farewel product a frustrat writer struggl to keep hi famili aliv when a seri of global catastroph threaten to annihil mankind. roland emmerich roland emmerich harald kloser
19,https://www.imdb.com/title/tt0478087/?ref_=sr_t_438,21,"drama mysteri & thriller jim sturgess kate bosworth kevin spacey aaron yoo liza lapira jacob pitt laurenc fishburn jack mcgee josh gad sam golzari helen carey jack gilpin donna low butch william jeff ma frank patton iii steven richard vezina chaska t. werner columbia pictur rel media trigger street product inspir by real event and people, 21 is about six mit student who becom train to be expert in card count in black jack and subsequ took vega casino for million in winnings. robert luket peter steinfeld allan loeb ben mezrich"
20,https://www.imdb.com/title/tt1232829/?ref_=sr_t_17,21 Jump Street,action comedi mysteri & thriller jonah hill chan tatum ice cube brie larson dave franco rob riggl deray davi dax flame chri parnel elli kemper jake johnson nick offerman holli robinson peet johnni pemberton stanley wong justin hire brett lapeyrous lindsey broad columbia pictur metro-goldwyn-may (mgm) rel media a pair of underachiev cop are sent back to a local high school to blend in and bring down a synthet drug ring. phil lord christoph miller michael bacal michael bacal jonah hill patrick hasburgh stephen j. cannel
21,https://www.imdb.com/title/tt2294449/?ref_=sr_t_497,22 Jump Street,"action comedi mysteri & thriller chan tatum jonah hill ice cube nick offerman peter stormar wyatt russel amber steven west jillian bell keith luca kenneth luca jimmi tatro carolin aaron craig robert marc evan jackson joe chrest eddi j. fernandez rye rye johnni pemberton columbia pictur metro-goldwyn-may (mgm) lstar capit after make their way through high school (twice), big chang are in store for offic schmidt and jenko when they go deep undercov at a local college. phil lord christoph miller michael bacal oren uziel rodney rothman michael bacal jonah hill patrick hasburgh stephen j. cannel"
22,https://www.imdb.com/title/tt0289043/?ref_=sr_t_332,28 Days Later,"adventur drama horror mysteri & thriller sci-fi cillian murphi naomi harri christoph eccleston alex palmer bindu de stoppani jukka hiltunen david schneider tobi sedgwick noah huntley christoph dunn emma hitch alexand delamer kim mcgarriti brendan gleeson megan burn justin hackney luke mabli stuart mcquarri dna film british film council four week after a mysterious, incur viru spread throughout the unit kingdom, a hand of survivor tri to find sanctuary. danni boyl alex garland"
23,https://www.imdb.com/title/tt0463854/?ref_=sr_t_404,28 Weeks Later,"horror sci-fi jeremi renner rose byrn robert carlyl harold perrineau catherin mccormack idri elba imogen poot mackintosh muggleton amanda walker shahid ahm garfield morgan emili beecham jordan el-balawi meghan popiel stewart alexand philip bulcock chri ryman tristan tait fox atom fox atom dna film six month after the rage viru wa inflict on the popul of great britain, the us armi help to secur a small area of london for the survivor to repopul and start again. but not everyth goe accord to plan. juan carlo fresnadillo rowan joff juan carlo fresnadillo enriqu lópez lavign jesú olmo"
24,https://www.imdb.com/title/tt1187043/?ref_=sr_t_357,3 Idiots,"comedi drama aamir khan madhavan mona singh sharman joshi kareena kapoor boman irani omi vaidya jaav jaaferi parikshit sahni olivi lafont rahul kumar amardeep jha farida dadi mukund bhatt chaitali bose jayant kripalani arun bali shoaib ahm vinod chopra product two friend are search for their long lost companion. they revisit their colleg day and recal the memori of their friend who inspir them to think differently, even as the rest of the world call them ""idiots"". rajkumar hirani abhijat joshi rajkumar hirani abhijat joshi vidhu vinod chopra chetan bhagat"
25,https://www.imdb.com/title/tt0389722/?ref_=sr_t_136,30 Days of Night,"horror mysteri & thriller josh hartnett melissa georg danni huston ben foster mark boon junior mark rendal amber sainsburi manu bennett megan franich joel tobeck elizabeth hawthorn nathaniel lee craig hall chic littlewood peter feeney min windl camil keenan jack walley columbia pictur ghost hous pictur dark hors entertain after an alaskan town is plung into dark for a month, it is attack by a bloodthirsti gang of vampires. david slade steve nile stuart beatti brian nelson steve nile ben templesmith"
