,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
718,365,0.28,2019-12-20,110,5,600,75558925,5,12,289,0,731,1354,128
719,366,0.63,2011-03-18,87,5,2105,7728936,7,3,325,2059,1144,1827,883
722,367,0.71,2024-04-26,131,5,1869,96019408,7,4,281,744,637,1989,793
725,368,0.57,2021-03-05,109,5,2181,26508132,6,3,57,1434,1065,115,396
726,369,0.68,2015-03-06,120,5,1501,102811889,7,3,106,1189,994,1562,911
727,370,0.78,1963-12-05,113,5,1776,175119,0,12,260,1704,1139,683,35
728,371,0.7,2007-12-21,102,5,179,119483446,7,12,302,1390,62,1021,895
729,372,0.67,2005-07-15,115,5,1120,474968763,5,7,195,222,1228,1280,103
730,373,0.56,2000-11-03,98,5,2096,264105545,6,11,29,1694,1314,1651,842
732,374,0.59,2003-12-25,98,5,2365,190538630,5,12,324,1259,85,903,17
735,375,0.73,2014-05-30,114,5,306,50440695,7,5,191,227,550,1972,680
738,376,0.72,2003-01-24,113,5,2147,306777366,6,1,272,975,1462,215,1040
742,377,0.57,2005-11-04,81,5,827,314432837,1,11,152,1565,817,1173,811
743,378,0.67,1988-11-09,87,5,188,44196684,7,11,375,1725,2145,973,127
745,379,0.79,2007-01-05,109,21,1387,70596471,7,1,333,268,95,1034,475
747,380,0.81,1974-06-20,130,5,450,29231954,7,6,335,2366,1264,402,1077
748,381,0.69,1968-12-18,144,5,178,7500564,1,12,230,2008,248,1768,740
749,382,0.63,2010-03-10,96,5,1863,13657649,7,3,335,269,43,700,962
750,383,0.72,2001-01-19,121,5,1825,152700626,6,1,338,273,442,229,768
752,384,0.68,1983-12-09,110,5,407,21045763,7,12,375,329,1450,1639,633
767,385,0.55,2004-11-24,99,5,2372,96593018,5,11,324,1329,487,572,617
773,386,0.69,2015-03-13,105,5,2298,542358331,5,3,216,479,1884,1186,743
774,387,0.8,2005-06-03,144,5,2047,108539911,6,6,337,1070,1931,996,1080
775,388,0.85,1990-02-23,174,12,1786,13020497,5,2,338,929,168,1694,483
779,389,0.83,1941-09-05,119,5,1258,1707754,5,9,335,864,232,542,943
780,390,0.86,2004-02-13,130,20,1504,30680793,7,2,91,2079,1793,352,427
781,391,0.7,2024-04-12,109,5,1421,126185957,7,4,1,375,2166,1490,420
784,392,0.58,2010-04-02,106,5,1726,493214993,6,4,75,1111,1629,1206,790
785,393,0.37,2024-10-22,105,5,94,26868,7,10,80,1609,1664,1892,1067
786,394,0.69,1994-08-03,141,5,1106,215887717,6,8,107,2267,1590,135,999
787,395,0.7,1963-07-31,192,5,1748,57778494,0,7,211,2093,594,878,702
789,396,0.64,2006-06-23,107,5,651,240685326,6,6,288,632,1475,1599,436
790,397,0.65,1993-05-28,113,5,71,255000211,7,5,1,1278,523,1460,1017
791,398,0.69,2019-03-15,97,7,1297,1696269,7,3,355,1217,122,549,461
794,399,0.76,1977-12-14,138,5,1781,306889114,5,12,339,982,1492,16,71
796,400,0.72,2004-12-03,104,5,2004,115518219,7,12,338,788,1064,1673,895
798,401,0.74,2012-10-26,172,5,946,130516424,7,10,333,1420,2078,1533,134
799,402,0.69,2009-09-18,90,5,339,243006136,5,9,152,453,1146,1605,997
800,403,0.7,2008-01-18,85,5,271,172394180,6,1,76,755,2160,441,834
801,404,0.57,2016-06-17,100,5,348,4381603,7,6,375,293,1896,1696,685
802,405,0.73,1985-12-13,94,5,1827,14646188,5,12,262,2078,507,438,695
803,406,0.69,1995-07-19,97,5,1819,56697748,6,7,282,2160,258,413,534
805,407,0.73,2005-01-14,136,5,1137,76669554,6,1,340,1116,831,1536,97
806,408,0.58,1986-05-23,87,5,597,49042224,7,5,80,1287,1100,1261,474
808,409,0.59,2023-02-24,95,5,973,88314672,7,2,279,336,438,1068,411
809,410,0.59,1988-07-29,104,5,571,171504781,7,7,282,1375,233,808,1069
810,411,0.84,2017-11-22,105,5,1039,814641172,5,11,163,564,734,1150,776
813,412,0.72,2014-08-06,89,5,1856,139745,4,8,374,2111,343,1374,549
817,413,0.72,2003-12-25,154,5,1507,173013509,7,12,211,258,1830,212,839
818,414,0.62,2019-02-08,119,5,262,76419755,7,2,91,463,86,712,502
820,415,0.75,2004-08-06,120,5,91,220240655,7,8,107,1358,1502,470,864
821,416,0.64,2011-08-26,108,5,453,71508440,6,8,107,1580,778,1854,940
823,417,0.62,2017-04-21,109,5,1308,4531320,7,4,93,501,975,1125,900
829,418,0.71,1988-06-29,117,5,949,288752301,7,6,265,2065,2176,475,649
830,419,0.67,1985-10-04,90,5,484,57491000,7,10,1,812,406,596,814
832,420,0.64,2012-09-26,90,5,422,592116,7,9,335,416,1950,836,304
833,421,0.69,1997-06-06,115,5,1671,224012234,7,6,80,828,1344,797,26
834,422,0.69,1982-05-14,129,5,445,68851475,7,5,75,804,1243,1757,661
835,423,0.74,2024-10-25,120,5,2210,38826768,5,10,335,956,1140,2106,405
