,Movie_Name,Ratings,Release_Date,Duration,Original_Language,Description,Box Office,Certificate (MPAA),Month,Category_Encoded,Film_Actor_Encoded,Writer_Encoded,Companies_Encoded,Directors_Encoded
1198,609,0.77,2015-04-24,108,5,723,37394629,7,4,333,2162,2166,1488,420
1199,610,0.73,1981-04-10,140,5,1641,34971136,5,4,214,851,1555,1519,628
1200,611,0.95,2024-12-03,117,5,1867,494400,7,12,365,1349,1573,565,114
1202,612,0.6,2014-12-12,150,5,1942,268175631,6,12,60,1804,910,1508,1033
1209,613,0.75,1999-07-16,159,5,38,162284835,10,7,335,1368,1425,1256,38
1211,614,0.52,2021-06-25,143,5,1173,726229501,6,6,80,1484,1991,353,727
1216,615,0.73,1997-06-27,138,5,2108,245676146,7,6,79,205,960,508,677
1220,616,0.64,2022-08-12,107,5,2251,16750248,6,8,80,2232,569,1457,1105
1224,617,0.76,1993-02-26,113,5,977,40903593,7,2,335,704,2167,1942,625
1236,618,0.81,1982-12-17,188,24,2187,6813882,7,12,365,1469,257,1522,519
1238,619,0.72,2016-11-18,132,5,1355,816037575,6,11,232,2070,284,1319,363
1239,620,0.65,2018-11-16,134,5,1304,655755901,6,11,232,2069,281,1319,363
1240,621,0.62,2022-04-15,142,5,860,407150844,6,4,233,2068,282,1319,363
1241,622,0.57,2005-07-08,106,5,269,333535934,6,7,68,2346,819,928,110
1242,623,0.79,2009-11-25,87,5,997,58091644,5,11,142,2203,1232,951,173
1243,624,0.49,2020-02-14,109,5,2322,49447308,6,2,369,730,391,1622,582
1244,625,0.71,2015-05-22,119,5,1412,30599369,6,5,338,1696,1547,1979,98
1245,626,0.81,1996-04-05,98,5,1653,60611975,7,4,279,1543,52,518,621
1247,627,0.65,2009-04-03,107,5,1098,360405638,6,4,80,1485,1869,1020,727
1248,628,0.7,2013-05-24,130,5,1337,788683342,6,5,80,1489,1869,1020,727
1249,629,0.65,2019-08-02,137,5,1602,760732926,6,8,1,2035,1871,1515,345
1251,630,0.73,2011-04-29,130,5,1174,626140012,6,4,87,1488,1869,1008,727
1252,631,0.71,1982-08-13,90,5,267,27093151,7,8,302,1171,1799,1016,534
1253,632,0.57,2023-05-19,141,5,1172,704875015,6,5,1,1483,1979,1074,790
1254,633,0.64,2010-11-24,98,5,938,35626958,7,11,107,2043,1617,1436,477
1255,634,0.69,1987-09-18,119,5,368,320145693,7,9,335,708,316,492,251
1258,635,0.55,2017-12-22,113,5,2194,25701244,7,12,302,872,638,1916,770
1259,636,0.66,1991-12-20,105,5,2364,89325780,5,12,321,1262,77,819,252
1264,637,0.75,1998-05-22,118,5,974,10680275,7,5,191,218,245,1872,90
1271,638,0.72,2016-12-25,139,5,653,64414761,6,12,365,1988,1046,748,380
1272,639,0.67,2017-12-15,108,5,750,296069199,5,12,143,176,1251,954,237
1273,640,0.64,2023-12-25,130,5,1813,43332974,7,12,340,285,1635,1944,864
1274,641,0.78,1986-06-11,103,5,79,70738901,6,6,325,607,499,492,645
1276,642,0.46,2017-02-10,118,5,2334,381545846,7,2,332,1888,997,1009,540
1277,643,0.45,2018-02-09,105,5,998,371985018,7,2,332,1887,997,507,540
1278,644,0.42,2015-02-13,125,5,1614,569651467,7,2,332,1886,668,1921,1096
1279,645,0.88,1999-10-15,139,5,963,101321009,7,10,365,1635,1921,1948,339
1281,646,0.62,2024-01-25,166,10,469,3800771,4,1,118,2312,1394,1377,20
1282,647,0.7,2019-02-22,108,5,238,41503392,6,2,284,2037,1452,191,49
1283,648,0.67,2000-03-17,98,5,806,112880294,7,3,375,2004,170,297,551
1284,649,0.62,2003-01-31,90,5,1150,90941129,7,1,375,2286,271,298,354
1285,650,0.58,2006-02-10,93,5,2205,118890272,7,2,375,579,171,318,551
1290,651,0.82,2003-05-30,100,5,816,941637960,1,5,161,1835,475,1152,630
1296,652,0.77,1982-10-22,93,5,613,125212904,7,10,1,1286,2080,45,84
1297,653,0.73,2018-10-12,141,5,344,105713218,6,10,365,1085,609,1081,311
1300,654,0.72,2019-03-15,116,5,1846,92559910,6,3,338,2249,964,1437,722
1301,655,0.54,2023-10-27,109,5,605,291493620,6,10,375,251,1333,1060,413
1302,656,0.65,1980-12-05,111,5,230,27185209,5,12,3,1104,767,686,888
1303,657,0.62,1983-04-15,95,5,874,92921203,7,4,329,91,1551,406,251
1306,658,0.73,2012-11-02,138,5,2119,161772375,7,11,335,1980,484,490,1060
1307,659,0.69,1986-08-01,90,5,1373,18566010,5,8,205,167,820,1154,1012
1308,660,0.77,2010-09-10,90,5,2224,4324817,5,9,282,521,1235,1475,1042
1311,661,0.66,2024-07-12,132,5,1636,42225354,6,7,265,1143,658,248,488
1312,662,0.66,2015-02-27,105,5,1498,159162963,7,2,276,1526,172,19,484
1315,663,0.66,1984-02-17,107,5,106,80047589,5,2,329,338,2115,404,512
1317,664,0.67,1981-06-26,127,5,1798,54837696,5,6,1,1053,1214,1845,642
1318,665,0.82,1967-05-10,132,12,2140,15000000,7,5,63,1842,1369,531,6
1320,666,0.81,2019-11-15,152,5,872,225508210,6,11,110,597,420,1509,545
1321,667,0.71,2008-04-18,111,5,1166,105833257,7,4,282,384,367,994,917
1322,668,0.74,2018-02-21,108,15,1565,9968972,10,2,241,290,357,690,559
1324,669,0.88,1994-07-06,142,5,1966,678226465,6,7,338,1401,1711,439,1060
1328,670,0.68,2005-07-01,109,5,2323,92374674,7,7,107,560,2039,465,670
1329,671,0.57,2008-11-26,88,5,127,164112721,6,11,299,970,842,288,7
1331,672,0.71,1994-04-15,117,5,1713,245700832,7,4,282,2317,1202,519,894
1337,673,0.63,2020-11-13,102,5,830,18073433,7,11,315,1491,920,1065,282
1338,674,0.63,2003-08-06,97,5,1881,160849833,5,8,309,31,839,1179,822
1339,675,0.57,2007-11-09,116,5,1295,97838349,5,11,312,1493,1969,1250,335
1340,676,0.71,2021-08-13,115,5,2218,331526598,6,8,37,1092,851,1887,17
1341,677,0.69,2016-06-24,139,5,168,25035950,7,6,63,625,113,590,457
1342,678,0.6,1993-07-16,112,5,2241,153709806,5,7,223,50,662,1244,27
1344,679,0.55,2023-10-27,108,5,940,10196704,7,10,104,177,296,1357,1002
1348,680,0.72,1995-04-26,91,5,1525,28215918,7,4,302,2341,253,274,422
1349,681,0.58,2002-11-22,85,5,2377,33526835,7,11,301,2340,252,654,805
1350,682,0.72,2004-10-08,118,5,1065,61950770,6,10,110,1595,1795,1104,975
1351,683,0.55,2009-02-13,97,5,292,91509154,7,2,375,40,1642,270,804
1352,684,0.77,1992-01-24,130,5,1230,119418501,6,1,365,307,60,1086,679
1354,685,0.65,2011-07-22,109,5,702,149542245,7,7,265,756,661,628,176
1356,686,0.71,1985-08-02,106,5,1,24923585,7,8,378,1801,1597,1613,127
1360,687,0.72,1996-01-19,108,5,2146,25839496,7,1,100,2272,1250,1748,1053
1361,688,0.64,2010-02-05,92,5,1408,52844496,7,2,80,203,1789,1850,1002
1362,689,0.73,1964-05-27,115,5,1551,24811445,5,5,1,1159,1211,1845,86
1365,690,0.74,2013-11-27,102,5,1240,1306450154,5,11,147,386,403,1132,257
1366,691,0.68,2019-11-22,103,5,1000,1453683476,5,11,138,387,402,1132,257
1368,692,0.82,1987-07-10,116,5,446,50193748,7,7,365,626,1427,1224,38
1371,693,0.65,2008-04-04,111,5,2171,7948284,7,4,335,783,916,1480,859
1372,694,0.75,2024-05-24,148,5,1995,173775791,7,5,0,711,151,1304,471
1373,695,0.71,2015-04-03,137,5,1155,1515342457,6,4,80,1487,1869,991,548
1374,696,0.76,2014-10-17,134,5,264,211822697,7,10,118,1628,2025,1586,333
1377,697,0.6,1997-08-22,125,5,1624,48169156,7,8,94,1962,2004,2056,1033
1378,698,0.57,2013-03-28,110,5,1900,375740705,6,3,0,2045,1192,389,683
1379,699,0.57,2009-08-07,118,5,930,302469017,6,8,0,1971,1501,435,51
1382,700,0.74,1999-12-25,102,5,1927,90685205,5,12,178,1332,2048,1817,371
1383,701,0.69,2018-02-23,100,5,272,117768230,7,2,29,42,828,1764,638
1387,702,0.75,2002-12-20,167,5,1349,193772504,7,12,107,444,371,232,828
1388,703,0.77,1997-10-24,106,5,2199,12533963,6,10,333,2137,460,1540,629
1391,704,0.57,2019-10-11,117,5,985,173469516,6,10,79,1531,2028,666,706
1396,705,0.61,2010-05-27,90,5,579,118492,6,5,305,693,361,1416,561
1398,706,0.53,2017-10-20,111,5,2321,221900160,6,10,0,2214,2112,1253,369
1402,707,0.78,2017-02-24,104,5,666,255751443,7,2,315,1923,589,1059,698
1403,708,0.69,1995-10-20,105,5,383,115101622,7,10,262,2191,27,172,1054
1404,709,0.71,1990-07-13,127,5,784,505703557,6,7,342,887,1786,486,590
1405,710,0.53,2007-02-16,110,5,2305,228738393,6,2,119,841,834,1631,821
1406,711,0.43,2012-02-17,96,5,1579,132563930,6,2,119,837,1341,1669,816
1407,712,0.56,2002-10-25,91,5,492,68349884,7,10,375,267,821,1274,55
1409,713,0.79,1996-03-29,83,13,144,929593,10,3,249,928,1392,43,800
1410,714,0.78,1984-06-08,105,5,2094,296578797,5,6,97,1586,1965,1634,524
1411,715,0.66,1989-06-16,108,5,1943,215394738,5,6,97,1587,1964,1674,524
1412,716,0.7,2021-11-19,124,5,2275,204334455,6,11,192,1699,161,1610,564
1413,717,0.61,2024-03-22,115,5,2317,201856657,6,3,192,905,161,1656,481
1417,718,0.58,2009-05-01,100,5,2338,102366815,6,5,304,614,557,14,822
1419,719,0.76,2017-04-12,101,5,1293,43069254,6,4,365,1768,1593,1982,802
1429,720,0.73,2000-01-14,127,5,167,48350205,7,1,365,1549,1513,1588,545
1432,721,0.85,2000-05-05,155,5,233,465516248,7,5,63,1068,2040,1804,1033
1433,722,0.69,2024-11-22,148,5,814,369747838,7,11,63,896,2096,417,1033
1434,723,0.66,2019-01-18,129,5,1799,246999039,6,1,114,15,785,1425,797
1435,724,0.71,2022-12-23,139,5,1870,13280000,6,12,279,1912,1197,257,1019
1437,725,0.77,1992-10-02,100,5,941,10726612,7,10,335,1719,2070,299,540
1439,726,0.78,1990-02-16,122,5,1771,26979166,7,2,365,609,680,860,406
1440,727,0.72,1999-04-09,102,5,1924,28451622,7,4,262,1137,465,1614,396
1444,728,0.54,2016-02-26,127,5,1655,150680864,6,2,60,1653,858,536,429
1445,729,0.64,2014-05-16,123,5,2063,524978362,6,5,0,1895,2018,1213,448
1446,730,0.77,2023-12-01,124,13,1741,113676322,6,12,62,761,1525,582,77
1447,731,0.63,2021-03-31,113,5,1953,470116094,6,3,0,2022,1541,1217,222
1448,732,0.61,2024-03-29,115,5,2136,571750016,6,3,68,966,1542,61,222
1449,733,0.6,2019-05-31,132,5,1940,387300138,6,5,75,408,904,1207,856
1450,734,0.66,2017-04-07,96,5,1159,85218541,6,4,262,698,1544,1725,196
1454,735,0.72,1995-11-17,130,5,2268,352194034,6,11,1,932,246,1843,825
1455,736,0.77,1965-01-09,110,5,2341,51220312,0,1,1,1169,1215,1845,498
1460,737,0.76,2007-10-19,114,5,2126,34612443,7,10,335,774,1220,221,1074
1461,738,0.81,2014-10-03,149,5,1969,370890259,7,10,335,1230,164,893,339
1462,739,0.65,2000-06-09,118,5,486,237202299,6,6,80,830,204,802,387
1463,740,0.82,1940-01-17,238,5,514,402382193,1,1,338,1837,800,647,156
1465,741,0.67,2019-08-16,90,5,2078,111173598,7,8,191,2371,730,1093,465
1468,742,0.56,2007-09-21,96,5,1463,59768495,7,9,265,1901,611,77,812
1472,743,0.73,2017-08-25,102,5,760,3274936,7,8,335,1030,1293,1829,12
1474,744,0.83,1998-01-09,126,5,2355,225933435,7,1,338,1040,845,211,497
1476,745,0.87,1990-09-21,145,5,2023,47055110,7,9,107,1006,999,1326,828
1480,746,0.72,2002-01-18,137,5,1810,87754044,7,1,279,524,629,960,1045
1485,747,0.81,2009-01-09,116,5,757,269958228,7,1,365,1845,1015,162,291
1486,748,0.71,2023-08-25,134,5,1073,122076738,6,8,51,1948,365,1583,911
1492,749,0.85,1989-07-26,88,13,684,801143,4,7,253,1453,1873,652,522
1493,750,0.77,2013-10-04,91,5,1178,773231423,6,10,209,1127,94,1308,475
1495,751,0.72,1978-06-16,110,5,1310,396271103,5,6,258,206,431,414,1012
1496,752,0.46,1982-06-11,115,5,17,15172313,5,6,273,735,670,492,952
1498,753,0.82,2018-11-16,130,5,654,321752656,6,11,179,1476,1016,498,982
1499,754,0.7,2016-05-13,95,5,458,3767402,7,5,373,650,411,1410,589
1500,755,0.64,2020-12-18,119,5,204,52300000,6,12,1,2217,1877,603,1020
1501,756,0.73,1984-06-08,106,5,706,153908485,5,6,307,1569,1857,1325,614
1502,757,0.64,1990-06-15,106,5,1901,41483050,6,6,308,1568,1837,1325,612
1509,758,0.8,1993-02-12,101,5,406,71108778,5,2,288,1583,2008,1674,508
1511,759,0.6,2010-06-25,102,5,845,271457606,6,6,325,639,1743,1597,376
1512,760,0.54,2013-07-12,101,5,821,246984278,6,7,325,636,97,1665,376
1515,761,0.8,2014-08-01,121,5,275,773350376,6,8,32,1791,322,153,542
1516,762,0.76,2017-05-05,136,5,1905,863756903,6,5,32,1794,324,161,542
1517,763,0.79,2023-05-05,150,5,1852,845555777,6,5,32,1798,321,159,542
1519,764,0.76,2022-12-09,117,5,216,109846,5,12,164,2144,195,258,493
1520,765,0.66,1997-11-24,89,5,1619,116799,7,11,302,825,213,1905,506
1523,766,0.75,2023-04-21,123,5,1206,21948551,7,4,107,2385,201,605,499
1524,767,0.71,1955-12-23,150,5,1406,3791,0,12,255,565,440,612,703
1528,768,0.81,2010-03-12,93,5,1747,46749646,1,3,223,983,1453,682,768
1529,769,0.62,1995-09-15,105,5,1874,7563728,6,9,332,234,1175,967,517
1531,770,0.81,2016-11-04,139,5,2378,180563636,7,11,365,197,1262,727,845
1533,771,0.67,2007-07-20,117,5,1733,203630031,5,7,273,207,747,321,211
1534,772,0.77,1978-10-27,91,5,1242,47173315,7,10,375,2016,474,1677,633
1539,773,0.7,1968-07-31,114,5,2290,11000000,0,7,63,1850,746,66,85
1540,774,0.67,2011-04-08,111,5,523,63782078,6,4,48,1131,1372,1938,619
1542,775,0.68,2001-02-09,131,5,1617,351692268,7,2,335,571,1550,187,1033
1543,776,0.61,2013-01-25,88,5,1102,226349749,7,1,122,116,1614,388,140
1545,777,0.77,1998-10-16,134,5,1984,2982321,3,10,302,32,1587,2018,120
1547,778,0.66,2017-10-13,96,5,110,125479266,6,10,315,128,1340,1064,282
1549,779,0.64,2006-11-17,108,5,1521,384336108,5,11,155,2083,150,1273,470
1550,780,0.7,1996-02-16,92,5,813,41205099,6,2,267,641,1565,1067,376
1554,781,0.7,2006-04-28,104,5,1328,7022209,7,4,335,891,1771,98,359
1558,782,0.7,2004-07-30,88,5,36,23936908,7,7,207,178,555,1837,328
1559,783,0.57,2024-08-02,90,5,1515,32065587,5,8,153,1571,2044,1633,237
1560,784,0.67,2019-11-01,125,5,1955,43347017,6,11,118,1874,181,1836,731
1561,785,0.74,2002-11-15,161,5,1322,882546027,5,11,231,1925,283,1318,259
1562,786,0.77,2010-11-19,146,5,1014,960897696,6,11,231,1929,1473,1319,363
1563,787,0.81,2011-07-15,130,5,1033,1342499744,6,7,231,1926,1473,1319,363
1564,788,0.77,2005-11-18,157,5,1321,897468952,6,11,231,1931,1473,1317,894
1565,789,0.76,2009-07-15,153,5,1013,941055851,5,7,72,1927,1473,1319,363
1566,790,0.75,2007-07-11,138,5,2373,942862581,6,7,72,1930,911,1319,363
1567,791,0.79,2004-06-04,142,5,1323,808485409,5,6,231,1928,283,1318,475
1568,792,0.77,2001-11-16,152,5,980,1026414475,5,11,232,1924,283,1318,259
1578,793,0.64,2009-02-06,129,5,2071,178866158,6,2,282,2228,336,311,741
1583,794,0.83,1995-12-15,170,5,274,187436818,7,12,107,1714,924,1229,864
1584,795,0.71,1989-03-31,103,5,1045,1167227,7,3,279,1550,2002,339,862
1585,796,0.73,1994-10-14,99,5,2180,3049950,7,10,335,678,71,1344,985
1587,797,0.66,1981-08-07,86,5,256,547560,7,8,145,988,1994,1660,478
1593,798,0.76,2016-08-26,102,5,2111,37999675,7,8,210,1785,1528,1434,349
1597,799,0.69,2004-04-02,122,5,158,99378985,6,4,70,1058,192,567,494
1598,800,0.45,2024-10-08,99,5,1331,1966825,7,10,129,2359,1897,1426,225
1601,801,0.69,1987-09-18,94,5,638,14579541,7,9,375,236,1933,1893,292
1604,802,0.8,2014-01-10,126,5,1500,48269269,7,1,336,159,1418,136,32
1606,803,0.49,2005-06-22,101,5,1630,144146816,1,6,197,484,1554,1155,725
1607,804,0.73,1997-06-27,93,5,2012,252712101,1,6,12,1303,1288,1175,1079
1608,805,0.62,2024-11-01,104,5,249,13302487,6,11,365,1400,39,231,1060
1610,806,0.73,2018-06-08,127,5,260,87819062,7,6,358,1442,840,365,880
1614,807,0.78,2017-01-06,127,5,2087,235957472,5,1,365,1300,219,1963,94
1616,808,0.74,2000-03-31,113,5,1767,47126295,7,3,273,186,1012,823,44
1617,809,0.57,2019-04-12,113,5,212,2133033,7,4,357,1029,1925,1906,289
1618,810,0.74,1973-04-07,105,5,299,15706540,7,4,180,1846,48,766,291
1621,811,0.56,2006-01-20,98,5,444,3746,9,1,296,1564,1110,1760,745
1622,812,0.69,1956-07-17,111,5,2366,13358,0,7,258,1607,528,111,254
1623,813,0.7,1986-03-07,116,5,954,5901480,7,3,75,1825,184,785,1088
1634,814,0.62,2007-11-21,94,5,300,101276318,7,11,1,1341,1413,944,189
1635,815,0.57,2015-08-21,96,5,918,82347656,7,8,1,1066,1411,933,401
1637,816,0.69,1993-07-16,96,5,576,48706598,5,7,307,1505,2051,1168,745
1640,817,0.7,2003-04-18,117,5,661,71406573,5,4,189,1200,770,1170,585
1643,818,0.73,1942-09-04,100,5,1050,80,0,9,296,1606,1927,492,820
1649,819,0.59,2000-08-04,112,5,85,190213455,7,8,126,340,116,1658,964
1650,820,0.65,2015-03-27,94,5,1685,386041607,5,3,152,147,1598,1781,106
1651,821,0.77,1990-11-16,103,5,926,476684675,5,11,324,514,499,950,259
1652,822,0.69,1992-11-20,120,5,1595,358994850,5,11,203,515,495,950,259
1653,823,0.46,1997-12-12,102,5,862,79082515,5,12,102,1939,499,950,1009
1661,824,0.66,1995-11-03,103,5,794,17519169,6,11,282,2310,1874,407,610
1662,825,0.65,2013-11-27,100,5,231,48449416,7,11,80,58,1518,354,455
1666,826,0.64,1989-06-23,93,5,2008,222724172,5,6,205,989,1503,1162,615
1667,827,0.68,1991-12-11,142,5,2209,300854823,5,12,41,2033,285,863,71
1669,828,0.67,2024-06-28,181,5,1126,38235702,7,6,224,348,547,292,747
1671,829,0.69,2011-07-08,98,5,2090,209838559,7,7,262,45,925,275,7
1672,830,0.59,2006-01-06,94,5,2083,81979826,7,1,378,77,21,343,408
1673,831,0.55,2007-06-08,94,5,2079,35728183,7,6,378,417,17,92,408
1674,832,0.72,2018-01-26,134,5,1351,35669017,7,1,224,1152,1334,57,1100
1676,833,0.78,2007-04-20,121,5,986,80581021,7,4,87,1211,2179,1038,404
1677,834,0.67,1991-07-31,85,5,431,181096164,6,7,104,1741,422,897,594
1678,835,0.64,2010-03-26,99,5,353,64780213,7,3,266,182,606,185,59
1681,836,0.76,2019-03-29,123,10,2053,21315827,7,3,107,1998,478,2103,827
1682,837,0.81,2005-02-04,121,5,1723,33882243,6,2,365,2014,660,964,88
1683,838,0.7,2012-09-28,91,5,1183,358375603,5,9,153,634,1111,1604,466
1686,839,0.66,2021-11-24,158,5,2228,153269161,7,11,335,414,1203,137,1033
1687,840,0.55,2005-05-06,113,5,287,68766121,7,5,375,1727,1824,1286,567
1691,841,0.63,2000-11-17,104,5,1700,346659384,5,11,312,137,2155,1101,1080
1695,842,0.65,2003-02-07,116,5,1081,177503042,6,2,265,297,948,128,394
1698,843,0.81,2010-03-26,98,5,303,494879860,5,3,23,74,1683,1772,367
1699,844,0.78,2014-06-13,102,5,2219,621537519,5,6,12,72,2111,1772,368
1701,845,0.74,2019-02-22,104,5,2220,539987993,5,2,7,75,2111,1773,368
1702,846,0.47,1986-08-01,110,5,493,37962774,5,8,30,422,1471,982,177
1703,847,0.82,2005-06-17,119,13,2292,240725772,5,6,169,1761,223,2067,510
1705,848,0.75,2011-11-23,126,5,1357,185770310,5,11,215,874,521,481,828
1706,849,0.56,2003-06-20,138,5,1103,245285165,6,6,81,2128,1420,989,706
1711,850,0.66,2018-10-26,121,5,993,31676147,7,10,80,2224,893,2070,395
1717,851,0.63,2019-09-13,110,5,1519,157563598,7,9,279,1864,765,141,788
1718,852,0.55,2023-05-12,93,5,164,16281937,7,5,106,1233,1259,1392,1053
1720,853,0.72,2007-12-14,101,5,2379,585410052,6,12,219,1539,829,1282,432
1721,854,0.76,2002-01-25,132,5,967,97818302,6,1,365,1172,697,285,592
1722,855,0.64,2021-02-19,118,5,140,1351662,7,2,279,1061,270,1382,525
1724,856,0.58,1997-10-17,101,5,1290,125586134,7,10,375,107,687,144,599
1726,857,0.53,2009-07-10,102,5,409,15821907,6,7,204,2279,711,1968,259
1728,858,0.84,2024-06-14,100,5,1876,4500000,6,6,360,36,355,1503,558
1729,859,0.62,2010-06-17,108,5,660,1278650,7,6,375,1134,1735,1525,67
1732,860,0.55,1998-11-13,86,5,109,12214338,5,11,206,233,1601,1145,912
1733,861,0.68,2007-12-07,135,5,1782,11792542,7,12,330,1815,1580,28,117
1734,862,0.89,2025-02-14,136,20,385,9200000,6,2,365,2153,972,1118,168
1737,863,0.71,2004-07-16,115,5,1389,353133898,6,7,79,1538,388,887,429
1738,864,0.75,2018-01-19,119,5,1133,53939297,7,1,284,537,1490,1678,302
1739,865,0.64,2024-05-17,104,5,697,190309707,5,5,243,1688,505,387,648
1740,866,0.75,2002-03-27,81,5,1633,383257136,5,3,161,1966,918,917,270
1741,867,0.73,2003-04-25,90,5,1854,90259536,7,4,241,181,896,1542,545
1742,868,0.65,2007-01-25,84,5,1139,495652,7,1,175,507,954,912,889
1743,869,0.62,1999-04-30,92,5,578,4152523,7,4,306,2003,1537,1548,1065
1745,870,0.47,2024-03-08,104,5,645,43787034,6,3,375,1956,389,1396,582
1746,871,0.68,2006-05-25,90,5,417,2635305,7,5,282,936,1036,694,935
1747,872,0.58,2024-03-22,89,5,1115,35340015,7,3,378,1275,441,1383,866
1748,873,0.6,2011-11-11,110,5,2068,226904017,7,11,111,2291,1840,556,79
1750,874,0.79,2008-02-29,107,5,772,38938097,7,2,279,1859,837,1937,826
1751,875,0.67,2011-10-28,109,5,1428,173930596,6,10,79,282,460,326,629
1753,876,0.54,2003-10-31,119,5,1670,23726793,7,10,241,652,349,623,557
1755,877,0.69,2015-12-11,122,5,473,94320758,6,12,63,1781,1831,1276,1080
1757,878,0.73,2021-06-11,143,5,1413,45175167,6,6,329,586,1172,1264,683
1758,879,0.83,2024-04-16,106,5,1523,56800,7,4,80,1027,826,607,1049
1760,880,0.71,1995-02-03,95,5,964,8926413,7,2,349,1105,903,269,633
1761,881,0.81,1994-02-25,133,5,892,65796862,7,2,335,1918,157,2048,602
1763,882,0.83,2011-04-22,131,7,2124,6797861,7,4,335,497,1655,1368,374
1764,883,0.88,2010-07-16,148,5,592,839030630,6,7,0,433,1914,1203,284
1767,884,0.75,2018-06-15,118,5,1907,1243225667,5,6,11,1870,1739,1152,207
1768,885,0.6,1993-04-07,117,5,65,266614059,7,4,338,1035,291,492,251
1769,886,0.7,1996-07-03,145,5,1926,817400891,6,7,3,1537,2113,923,1075
1770,887,0.52,2016-06-24,120,5,2148,389681935,6,6,3,460,99,910,1075
1771,888,0.65,2023-06-30,154,5,1005,383963057,6,6,3,2261,421,1144,545
1773,889,0.62,2008-05-22,122,5,1805,786636033,6,5,82,2268,2052,379,71
1774,890,0.82,1989-05-24,127,5,1360,474171806,6,5,82,2265,393,380,71
1775,891,0.75,1984-05-23,118,5,1358,333107271,5,5,82,2255,1678,380,71
1777,892,0.62,2016-10-28,121,5,2231,220021259,6,10,48,1418,1967,1643,1080
1780,893,0.84,2009-08-21,153,5,1402,321460456,7,8,191,1634,1171,1042,1007
1781,894,0.66,2015-01-09,148,5,1369,14810975,7,1,276,152,1092,2010,963
1783,895,0.68,1987-07-01,120,5,590,25893810,5,7,28,1968,394,1263,614
1786,896,0.74,2014-01-10,104,5,627,32962157,7,1,274,865,459,1435,418
1787,897,0.76,2006-03-24,129,5,438,186003591,7,3,335,1994,1307,1103,33
1789,898,0.81,2015-06-19,95,5,855,859076254,5,6,140,29,1106,512,972
1790,899,0.76,2024-06-14,96,5,507,1698586747,5,6,143,27,873,1152,739
1791,900,0.68,2011-04-01,103,5,199,100106454,6,4,375,888,739,1897,548
1792,901,0.72,2002-05-24,118,5,2354,113759177,7,5,335,1715,234,1912,284
1796,902,0.73,2018-11-16,118,5,125,120989830,6,11,302,557,1355,454,1109
1799,903,0.87,2014-11-07,169,5,2216,720218539,6,11,212,615,587,445,284
1800,904,0.75,1994-11-11,123,5,609,223664608,7,11,351,1629,676,2006,909
1803,905,0.59,2005-09-30,110,5,1280,46117696,6,9,1,907,850,1553,671
1805,906,0.81,2007-10-19,148,5,807,56676733,7,10,224,2104,1362,497,3
1806,907,0.59,2014-12-25,125,5,636,212902959,5,12,183,472,330,703,1040
1809,908,0.74,1978-12-22,115,5,2310,24949050,5,12,376,2019,1654,671,998
1812,909,0.76,2023-09-07,121,26,33,7636951,4,9,365,1182,860,350,836
1815,910,0.79,2008-05-02,126,5,795,585796247,6,5,3,1024,818,386,680
1816,911,0.69,2010-05-07,124,5,2371,623933331,6,5,81,1016,642,386,680
1817,912,0.71,2013-05-03,130,5,2235,1266152644,6,5,3,1023,2161,155,14
1823,913,0.73,2017-09-08,135,5,1506,704242888,7,9,378,1594,1844,278,675
1824,914,0.65,2019-09-06,169,5,2122,473123154,7,9,351,124,1444,310,675
1825,915,0.56,2024-09-24,130,5,1344,148300000,6,9,338,278,1919,1331,722
1826,916,0.65,2024-08-09,130,5,2283,350835691,6,8,338,1611,1918,1331,722
1827,917,0.68,2015-03-13,100,5,731,21808393,7,3,375,526,2088,349,355
1828,918,0.81,1934-02-22,105,5,488,16993,0,2,177,1838,1257,1674,435
1834,919,0.75,1963-11-07,210,5,279,46333064,0,11,29,1224,1698,1467,36
1836,920,0.86,1947-01-07,130,5,912,9767242,5,1,352,21,76,74,435
1838,921,0.8,1991-12-20,189,5,1669,205405498,7,12,335,353,429,1296,937
1839,922,0.55,1998-12-11,101,5,215,34562556,5,12,291,724,833,1254,152
1840,923,0.7,2012-12-21,130,5,1531,218340595,6,12,80,1372,728,432,283
1841,924,0.62,2016-10-21,118,5,1530,162146076,6,10,107,1378,1221,430,406
1843,925,0.75,1997-12-25,154,5,229,39693845,7,12,279,876,1165,225,1007
1845,926,0.74,1990-11-02,113,5,1658,26118851,7,11,358,1336,1786,1464,251
1849,927,0.7,2005-11-04,125,5,457,97076152,7,11,365,2373,1680,1015,1094
1850,928,0.66,2016-07-29,123,5,1890,415484914,6,7,80,596,1078,1011,958
1851,929,0.81,1975-06-20,124,5,2258,477220580,5,6,210,1064,1113,1358,71
1853,930,0.62,2001-08-31,90,5,87,59371303,7,8,375,2226,1643,963,158
1854,931,0.55,2009-09-18,102,5,416,31558416,7,9,319,655,2138,1969,730
1856,932,0.73,1996-12-13,139,5,2278,273552592,7,12,281,1380,1800,861,235
1861,933,0.57,1996-11-22,89,5,214,129832389,5,11,206,814,1181,924,221
1866,934,0.6,2001-04-11,91,5,789,30987695,6,4,191,1954,2101,1664,375
1869,935,0.66,2012-03-09,132,5,619,284139100,6,3,68,1306,476,1153,641
1870,936,0.71,2002-02-15,116,5,1574,102244770,6,2,335,1984,328,302,918
